"filename", "language", "C", "C++", "comment", "blank", "total"
"c:\code\StudentGradeSystem\UnitTest\MainMenu.c", "C", 542, 0, 148, 70, 760
"c:\code\StudentGradeSystem\UnitTest\ShowTxtFile.c", "C", 8, 0, 0, 3, 11
"c:\code\StudentGradeSystem\UnitTest\account.h", "C", 10, 0, 0, 1, 11
"c:\code\StudentGradeSystem\UnitTest\calculateScore.c", "C", 7, 0, 1, 0, 8
"c:\code\StudentGradeSystem\UnitTest\calculateScore.h", "C++", 0, 1, 0, 1, 2
"c:\code\StudentGradeSystem\UnitTest\course.h", "C++", 0, 10, 0, 1, 11
"c:\code\StudentGradeSystem\UnitTest\delete.c", "C", 219, 0, 64, 32, 315
"c:\code\StudentGradeSystem\UnitTest\delete.h", "C++", 0, 4, 0, 0, 4
"c:\code\StudentGradeSystem\UnitTest\display.c", "C", 77, 0, 87, 15, 179
"c:\code\StudentGradeSystem\UnitTest\display.h", "C++", 0, 2, 0, 0, 2
"c:\code\StudentGradeSystem\UnitTest\example.c", "C", 21, 0, 255, 64, 340
"c:\code\StudentGradeSystem\UnitTest\manageAccount.c", "C", 98, 0, 83, 14, 195
"c:\code\StudentGradeSystem\UnitTest\manageAccount.h", "C++", 0, 3, 0, 0, 3
"c:\code\StudentGradeSystem\UnitTest\modify.c", "C", 346, 0, 104, 55, 505
"c:\code\StudentGradeSystem\UnitTest\modify.h", "C", 5, 0, 0, 1, 6
"c:\code\StudentGradeSystem\UnitTest\print_format.c", "C", 15, 0, 0, 0, 15
"c:\code\StudentGradeSystem\UnitTest\print_format.h", "C++", 0, 1, 0, 0, 1
"c:\code\StudentGradeSystem\UnitTest\score.c", "C", 45, 0, 63, 20, 128
"c:\code\StudentGradeSystem\UnitTest\score.h", "C++", 0, 12, 0, 2, 14
"c:\code\StudentGradeSystem\UnitTest\search.c", "C", 254, 0, 57, 34, 345
"c:\code\StudentGradeSystem\UnitTest\search.h", "C", 7, 0, 0, 1, 8
"c:\code\StudentGradeSystem\UnitTest\statistics.c", "C", 380, 0, 50, 46, 476
"c:\code\StudentGradeSystem\UnitTest\statistics.h", "C", 9, 0, 0, 1, 10
"c:\code\StudentGradeSystem\UnitTest\store_info.c", "C", 155, 0, 128, 31, 314
"c:\code\StudentGradeSystem\UnitTest\store_info.h", "C++", 0, 3, 0, 0, 3
"c:\code\StudentGradeSystem\UnitTest\student.h", "C", 12, 0, 0, 3, 15
"c:\code\StudentGradeSystem\UnitTest\summary.c", "C", 107, 0, 27, 15, 149
"c:\code\StudentGradeSystem\UnitTest\summary.h", "C", 6, 0, 0, 1, 7
"c:\code\StudentGradeSystem\UnitTest\testout.c", "C", 111, 0, 557, 95, 763
"Total", "-", 2434, 36, 1624, 506, 4600
